,credit_card,reviews,user,comment,polarity,polarity_type
929,American Express Credit Card,have used credit cards before none been able satiate like this one. perfect!,Kabir,have use credit card befor none been abl satiat like thi one. perfect!,1,Positive
930,American Express Credit Card,Just couldn't have gotten more perfect card. best!,Abhi,just couldn't have gotten more perfect card. best!,1,Positive
931,American Express Credit Card,like this credit card. brings some really fascinating rewards benefits.,Alokita,like thi credit card. bring some realli fascin reward benefits.,0,Neutral
932,American Express Credit Card,credit card satiated this one. perfect!,Bharti,credit card satiat thi one. perfect!,1,Positive
933,American Express Credit Card,genuinely like appreciate this credit card amazing milestone rewards brings way.,Lavanya,genuin like appreci thi credit card amaz mileston reward bring way.,0,Neutral
934,American Express Credit Card,Happy have gotten nothing best with this credit card. amazing!,Harjeet,happi have gotten noth best with thi credit card. amazing!,1,Positive
935,American Express Credit Card,Glad that there simple hassle free process involved getting this card.,Mohana,glad that there simpl hassl free process involv get thi card.,0.45,Positive
936,American Express Credit Card,"moment lost card, contacted team they were quick help.",Dev,"moment lost card, contact team they were quick help.",0.333333333,Positive
937,American Express Credit Card,happy have found right card with right help from Amex team.,Suhani,happi have found right card with right help from amex team.,0.285714286,Positive
938,American Express Credit Card,This credit card literally makes happy! best!,Ashish,thi credit card liter make happy! best!,1,Positive
939,American Express Credit Card,"happy that with reasonable only 3500, getting such fascinating benefits.",Bala,"happi that with reason onli 3500, get such fascin benefits.",0,Neutral
940,American Express Credit Card,"Glad that even card that took with this card, only 1500.",Alia,"glad that even card that took with thi card, onli 1500.",0.5,Positive
941,American Express Credit Card,Super happy with massive variety offers applicable this card.,Sonia,super happi with massiv varieti offer applic thi card.,0.333333333,Positive
942,American Express Credit Card,Love phenomenal benefits coming with this credit card.,Simmi,love phenomen benefit come with thi credit card.,0.5,Positive
943,American Express Credit Card,free enrolment into Priority Pass Program perfect benefit from Amex this card.,Yug,free enrol into prioriti pass program perfect benefit from amex thi card.,0.7,Positive
944,American Express Credit Card,Happy have been lauded with amazing variety benefits offers coming with this card.,Yash,happi have been laud with amaz varieti benefit offer come with thi card.,0,Neutral
945,American Express Credit Card,Can't thank team Amex helped with right card choice.,Manan,can't thank team amex help with right card choice.,0.285714286,Positive
946,American Express Credit Card,Super satiated proud team Amex gave knowledge about probable aspects this card before application.,Payal,super satiat proud team amex gave knowledg about probabl aspect thi card befor application.,0.566666667,Positive
947,American Express Credit Card,needed cards. first came free third 1500.,Anshu,need cards. first came free third 1500.,0.216666667,Neutral
948,American Express Credit Card,Cannot believe that team Amex followed 100% paperless method while granting this card.,Rima,cannot believ that team amex follow 100% paperless method while grant thi card.,0,Neutral
949,American Express Credit Card,love this credit card amazing variety offers that brings.,Ashna,love thi credit card amaz varieti offer that brings.,0.5,Positive
950,American Express Credit Card,This card sure bring some really fascinating travel benefits your way. great.,Abhijeet,thi card sure bring some realli fascin travel benefit your way. great.,0.65,Positive
951,American Express Credit Card,Used benefit card brought daughter spouse board.,Anita,use benefit card brought daughter spous board.,0,Neutral
952,American Express Credit Card,This perfect card frequent travelers explorers.,Paridhi,thi perfect card frequent travel explorers.,0.55,Positive
953,American Express Credit Card,Satiated with abundant benefits discounts bagging with Travel Platinum Card.,Ishu,satiat with abund benefit discount bag with travel platinum card.,0,Neutral
954,American Express Credit Card,Super like multitude benefits that come with this credit card.,Ruhi,super like multitud benefit that come with thi credit card.,0.333333333,Positive
955,American Express Credit Card,literally faced hassle this credit card. best!,Anaida,liter face hassl thi credit card. best!,1,Positive
956,American Express Credit Card,benefit free cards with this credit card.,Asha,benefit free card with thi credit card.,0.4,Positive
957,American Express Credit Card,proud team Amex available round clock easy assistance.,Suresh,proud team amex avail round clock easi assistance.,0.3,Positive
958,American Express Credit Card,Amazed free enrolment into Priority Pass Program. just perfect!,Mihika,amaz free enrol into prioriti pass program. just perfect!,0.7,Positive
959,American Express Credit Card,"cards taken with this credit card, borne.",Amrit,"card taken with thi credit card, borne.",0,Neutral
960,American Express Credit Card,annual applicable this credit card just 5000 taxes.,Anjali,annual applic thi credit card just 5000 taxes.,0,Neutral
961,American Express Credit Card,Happy have known associated details about this credit card. just perfect!,Sunita,happi have known associ detail about thi credit card. just perfect!,1,Positive
962,American Express Credit Card,Paid 3500 Taxes Amex platinum travel credit card.,Akansha,paid 3500 tax amex platinum travel credit card.,0,Neutral
963,American Express Credit Card,have access 1200 airport lounges across globe thanks free enrolment into Priority Pass Program.,Karan,have access 1200 airport loung across globe thank free enrol into prioriti pass program.,0.4,Positive
964,American Express Credit Card,Absolutely went ahead with this card free enrolment into Priority Pass Program.,Shruti,absolut went ahead with thi card free enrol into prioriti pass program.,0.4,Positive
965,American Express Credit Card,joining pretty reasonable affordable. like this card.,Sunita,join pretti reason affordable. like thi card.,0,Neutral
966,American Express Credit Card,Happy have been associated with support representatives Amex bank helped with queries related card.,Harpreet,happi have been associ with support repres amex bank help with queri relat card.,0,Neutral
967,American Express Credit Card,"Wanted lounging benefits, went ahead with this credit card.",Raman,"want loung benefits, went ahead with thi credit card.",0,Neutral
968,American Express Credit Card,Totally appreciate service immediate card replacement around globe.,Anandi,total appreci servic immedi card replac around globe.,0,Neutral
969,American Express Credit Card,"Glad that with free enrolment into Priority Pass Program, access 1200 airport lounges across globe.",Kamal,"glad that with free enrol into prioriti pass program, access 1200 airport loung across globe.",0.45,Positive
970,American Express Credit Card,Wanted experience lounging benefits free enrolment into Priority Pass Program hit!,Oshika,want experi loung benefit free enrol into prioriti pass program hit!,0.4,Positive
971,American Express Credit Card,This credit card fetches 24/7 platinum access customer support team.,Kishna,thi credit card fetch 24/7 platinum access custom support team.,0,Neutral
972,American Express Credit Card,"card stolen, contacted team they helped with immediate card replacement.",Kamish,"card stolen, contact team they help with immedi card replacement.",0,Neutral
973,American Express Credit Card,"Super amazed having received Experiences gift card worth 10,000 milestone spending lac.",Soham,"super amaz have receiv experi gift card worth 10,000 mileston spend lac.",0.316666667,Positive
974,American Express Credit Card,Thanks free enrolment into Priority Pass Program which given access more than 1200 airports around world.,Tiya,thank free enrol into prioriti pass program which given access more than 1200 airport around world.,0.4,Positive
975,American Express Credit Card,Glad have used free enrolment into Priority Pass Program complimentary lounge access benefit.,Kokila,glad have use free enrol into prioriti pass program complimentari loung access benefit.,0.45,Positive
976,American Express Credit Card,free enrolment into Priority Pass Program total steal.,Mahima,free enrol into prioriti pass program total steal.,0.2,Neutral
977,American Express Credit Card,Europe where lost card. contacted support team they helped with emergency card replacement.,Anita,europ where lost card. contact support team they help with emerg card replacement.,0,Neutral
978,American Express Credit Card,Happy have 24*7 Platinum assist from agents Amex.,Ajit,happi have 24*7 platinum assist from agent amex.,0,Neutral
979,American Express Credit Card,free enrolment into Priority Pass Program bags access more than 1200 airports around world.,Rajni,free enrol into prioriti pass program bag access more than 1200 airport around world.,0.4,Positive
980,American Express Credit Card,free enrolment into Priority Pass Program with card.,Rajat,free enrol into prioriti pass program with card.,0.4,Positive
981,American Express Credit Card,"Experiences gift card worth 10,000 came when spending over lac.",Prajeet,"experi gift card worth 10,000 came when spend over lac.",0.3,Positive
982,American Express Credit Card,experience with this credit card been amazing. perfect!,Atul,experi with thi credit card been amazing. perfect!,1,Positive
983,American Express Credit Card,Happy with incredible variety offers various deals that fetch with this credit card.,Shipra,happi with incred varieti offer variou deal that fetch with thi credit card.,0,Neutral
984,American Express Credit Card,Cannot tell superbly excited feel having been using this credit card past years.,Suhani,cannot tell superbl excit feel have been use thi credit card past years.,-0.25,Negative
985,American Express Credit Card,Super excited redeeming reward points after saving them years.,Sohan,super excit redeem reward point after save them years.,0.333333333,Positive
986,American Express Credit Card,"Simply appreciate massive variety bonuses, rewards cashback deals that with this card.",Mona,"simpli appreci massiv varieti bonuses, reward cashback deal that with thi card.",0,Neutral
987,American Express Credit Card,"spending worth value lac, lauded with milestone rewards which included Experiences gift card worth 10,000.",Omar,"spend worth valu lac, laud with mileston reward which includ experi gift card worth 10,000.",0.3,Positive
988,American Express Credit Card,Totally love phenomenal milestone benefits that getting with this credit card.,Sanjeev,total love phenomen mileston benefit that get with thi credit card.,0.25,Neutral
989,American Express Credit Card,milestone benefits this credit card perfect!,Mobin,mileston benefit thi credit card perfect!,1,Positive
990,American Express Credit Card,accumulated reward points span years later redeemed them shopping from catalogue.,Abhay,accumul reward point span year later redeem them shop from catalogue.,0,Neutral
991,American Express Credit Card,don't think there should expiry rewards. Please extend expiry period from maybe years.,Ashima,don't think there should expiri rewards. pleas extend expiri period from mayb years.,0,Neutral
992,American Express Credit Card,Pretty satiated that spending year brought additional travel vouchers worth 3600.,Parul,pretti satiat that spend year brought addit travel voucher worth 3600.,0.3,Positive
993,American Express Credit Card,"With spending crossing limit lac, membership rewards worth 7500.",Nidhi,"with spend cross limit lac, membership reward worth 7500.",0.15,Neutral
994,American Express Credit Card,"With spending lac, Experiences gift card worth 10,000.",Tanya,"with spend lac, experi gift card worth 10,000.",0.3,Positive
995,American Express Credit Card,great offer packed credit card with some phenomenal rewards bonuses.,Himank,great offer pack credit card with some phenomen reward bonuses.,0.8,Positive
996,American Express Credit Card,"every quarter, given complimentary airport lounge access. great!",Kapil,"everi quarter, given complimentari airport loung access. great!",0.8,Positive
997,American Express Credit Card,additional reward points worth 1800 spending year.,Ashraf,addit reward point worth 1800 spend year.,0.3,Positive
998,American Express Credit Card,"annual spending worth value more, travel vouchers worth 6000.",Akira,"annual spend worth valu more, travel voucher worth 6000.",0.3,Positive
999,American Express Credit Card,best thing that like about this card that accumulate reward points period years.,Bhavna,best thing that like about thi card that accumul reward point period years.,1,Positive
1000,American Express Credit Card,lauded with travel vouchers along with Experience gift card milestone spending lac.,Tahira,laud with travel voucher along with experi gift card mileston spend lac.,0,Neutral
1001,American Express Credit Card,crossed spending milestone limit amazing vouchers.,Sanya,cross spend mileston limit amaz vouchers.,0,Neutral
1002,American Express Credit Card,spending last calendar year massively rewarded.,Mobin,spend last calendar year massiv rewarded.,0,Neutral
1003,American Express Credit Card,"more spend, more rewarded. feels great!!",Arjun,"more spend, more rewarded. feel great!!",0.8,Positive
1004,American Express Credit Card,"Now, love eating since become fairly cheaper dining partner restaurants bags discounts value 20%.",Anandita,"now, love eat sinc becom fairli cheaper dine partner restaur bag discount valu 20%.",0.5,Positive
1005,American Express Credit Card,option getting supplementary card with this one.,Sheena,option get supplementari card with thi one.,0,Neutral
1006,American Express Credit Card,Happy have received travel vouchers worth 4000 welcome gift with this card.,Hanan,happi have receiv travel voucher worth 4000 welcom gift with thi card.,0.3,Positive
1007,American Express Credit Card,reward point earned every spent with this card.,Manju,reward point earn everi spent with thi card.,-0.1,Neutral
1008,American Express Credit Card,"With this credit card, always felt easy hassle free make payments small payments.",Harpreet,"with thi credit card, alway felt easi hassl free make payment small payments.",0.075,Neutral
1009,American Express Credit Card,"spending 5000 first months payment joining fee, lauded with welcome benefits worth 4000.",Shekhar,"spend 5000 first month payment join fee, laud with welcom benefit worth 4000.",0.275,Positive
1010,American Express Credit Card,"fuel purchases made HPCL, convenience ought paid.",Fardeen,"fuel purchas made hpcl, conveni ought paid.",0,Neutral
1011,American Express Credit Card,usually discount 15-25% dining partner restaurants. great.,Daman,usual discount 15-25% dine partner restaurants. great.,0.275,Positive
1012,American Express Credit Card,"When paid joining fee, some 5000 bonus membership reward points.",Chaman,"when paid join fee, some 5000 bonu membership reward points.",0,Neutral
1013,American Express Credit Card,travel vouchers lounge access benefits with this card superb!,Takshila,travel voucher loung access benefit with thi card superb!,1,Positive
1014,American Express Credit Card,enjoying array fascinating premium luxurious travel alternatives with this card.,Lisha,enjoy array fascin premium luxuri travel altern with thi card.,0.4,Positive
1015,American Express Credit Card,This Amex card which perfect people like travel frequently.,Astha,thi amex card which perfect peopl like travel frequently.,0.55,Positive
1016,American Express Credit Card,rewards scheme this credit card fairly reasonable. like,Sanjana,reward scheme thi credit card fairli reasonable. like,0,Neutral
1017,American Express Credit Card,Super content with vivid variety offers benefits that getting with this cad.,Sohail,super content with vivid varieti offer benefit that get with thi cad.,0.229166667,Neutral
1018,American Express Credit Card,There great credit limit applicable AMEX credit card. Perfect,Kanya,there great credit limit applic amex credit card. perfect,0.9,Positive
1019,American Express Credit Card,"Initially felt that joining high then when compare benefits, totally worth",Jagat,"initi felt that join high then when compar benefits, total worth",0.153333333,Neutral
1020,American Express Credit Card,Using Amex Travel card haven't ever faced hassle with this credit card.,Anuj,use amex travel card haven't ever face hassl with thi credit card.,0,Neutral
1021,American Express Credit Card,Amex always been known super customer service with this card actually experienced,Amay,amex alway been known super custom servic with thi card actual experienc,0.166666667,Neutral
1022,American Express Credit Card,"this credit card, getting complimentary visit amazing airport lounges India.",Kamal,"thi credit card, get complimentari visit amaz airport loung india.",0,Neutral
1023,American Express Credit Card,"Hotels Palace Oberoi, fascinating deals with this card.",Tahira,"hotel palac oberoi, fascin deal with thi card.",0,Neutral
1024,American Express Credit Card,This credit card fetches lifestyle privileges amazing travel movie offers.,Shazaan,thi credit card fetch lifestyl privileg amaz travel movi offers.,0,Neutral
1025,American Express Credit Card,This credit card fetches some really incredible airport lounging benefits. great!,Shubham,thi credit card fetch some realli incred airport loung benefits. great!,0.8,Positive
1026,American Express Credit Card,getting some really incredible lifestyle privileges with Amex card.,Anay,get some realli incred lifestyl privileg with amex card.,0,Neutral
1027,American Express Credit Card,getting complimentary access airport lounges India.,Kuhoo,get complimentari access airport loung india.,0,Neutral
1028,American Express Credit Card,There some incredible lifestyle privileges available with this credit card.,Aman,there some incred lifestyl privileg avail with thi credit card.,0,Neutral
1029,American Express Credit Card,fascinating welcome benefits with this credit card.,Varsha,fascin welcom benefit with thi credit card.,0,Neutral
1030,American Express Credit Card,happy that this card came time when really needed credit card well cater needs.,Neelam,happi that thi card came time when realli need credit card well cater needs.,0,Neutral
1031,American Express Credit Card,this Amex card with credit limit lac. Decent,Neelu,thi amex card with credit limit lac. decent,0.166666667,Neutral
1032,American Express Credit Card,documentation process involved this card 100% paperless. Thanks guys.,Disha,document process involv thi card 100% paperless. thank guys.,0,Neutral
1033,American Express Credit Card,"have annual income lac, applied this with hassle.",Anshu,"have annual incom lac, appli thi with hassle.",0,Neutral
1034,American Express Credit Card,self employed individual with decent salary Amex card with ease.,Anita,self employ individu with decent salari amex card with ease.,0.166666667,Neutral
1035,American Express Credit Card,documentation process involved this credit card fairly simple. Thank Amex bank.,Drishti,document process involv thi credit card fairli simple. thank amex bank.,0,Neutral
1036,American Express Credit Card,savings account with Amex bank this card approved card.,Ananya,save account with amex bank thi card approv card.,0,Neutral
1037,American Express Credit Card,years getting this credit card supremely easy.,Soha,year get thi credit card suprem easy.,0,Neutral
1038,American Express Credit Card,Only minimum amount charged from late payment charge.,Boman,onli minimum amount charg from late payment charge.,-0.3,Negative
1039,American Express Credit Card,bear cost only when failed dues time.,Aman,bear cost onli when fail due time.,-0.3125,Negative
1040,American Express Credit Card,very reasonable charged from late payment dues.,Anand,veri reason charg from late payment dues.,-0.2125,Neutral
1041,American Express Credit Card,Feel that 40.2% that charged interest cost this card alarmingly high.,Angad,feel that 40.2% that charg interest cost thi card alarmingli high.,0.16,Neutral
1042,American Express Credit Card,There reasonable over limit charged this credit card.,Meeta,there reason over limit charg thi credit card.,0,Neutral
1043,American Express Credit Card,"statement retrieval, bear reasonable cost 100.",Savita,"statement retrieval, bear reason cost 100.",0,Neutral
1044,American Express Credit Card,"case third more cards taken, have bear cost 1500.",Agrim,"case third more card taken, have bear cost 1500.",0,Neutral
1045,American Express Credit Card,have bear finance cost only 3.35% this credit card.,Anjali,have bear financ cost onli 3.35% thi credit card.,0,Neutral
1046,American Express Credit Card,small foreign currency markup charged from payable just 3.5%.,Sonali,small foreign currenc markup charg from payabl just 3.5%.,-0.1875,Neutral
1047,American Express Credit Card,There miles redemption applicable credit card.,Ashi,there mile redempt applic credit card.,0,Neutral
1048,American Express Credit Card,paid cards taken with this card.,Nupur,paid card taken with thi card.,0,Neutral
1049,American Express Credit Card,interest rate applicable this card fairly reasonable.,Anandita,interest rate applic thi card fairli reasonable.,0,Neutral
1050,American Express Credit Card,Super satiated with variety offers benefits provided this credit card.,Suhana,super satiat with varieti offer benefit provid thi credit card.,0.333333333,Positive
1051,American Express Credit Card,redeem rewards variety alternatives. best!,Aseem,redeem reward varieti alternatives. best!,1,Positive
1052,American Express Credit Card,joining this card only 3500. Pretty reasonable.,Takdir,join thi card onli 3500. pretti reasonable.,0,Neutral
1053,American Express Credit Card,There zero liability benefit lost card from Amex,Zain,there zero liabil benefit lost card from amex,0,Neutral
1054,American Express Credit Card,joining applicable this credit card only 3500.,Ashima,join applic thi credit card onli 3500.,0,Neutral
1055,American Express Credit Card,spending this card fetches reward point.,Megha,spend thi card fetch reward point.,0,Neutral
1056,American Express Credit Card,"case fraudulent transactions occur with card, just can't held liable.",Vimal,"case fraudul transact occur with card, just can't held liable.",0,Neutral
1057,American Express Credit Card,sister wife same card part benefit applicable,Sanam,sister wife same card part benefit applic,0,Neutral
1058,American Express Credit Card,Glad that there very reasonable annual 5000 applicable this card,Vibha,glad that there veri reason annual 5000 applic thi card,0.5,Positive
1059,American Express Credit Card,redeem reward points accrued over redemption options.,Ashna,redeem reward point accru over redempt options.,0,Neutral
1060,American Express Credit Card,Happy that rewards program Amex card perfect.,Harman,happi that reward program amex card perfect.,1,Positive
1061,American Express Credit Card,"When card stolen, informed executives Amex they under zero liability.",Kamna,"when card stolen, inform execut amex they under zero liability.",0,Neutral
1062,American Express Credit Card,Happy have gotten cards additional cost with this credit card.,Aish,happi have gotten card addit cost with thi credit card.,0,Neutral
1063,American Express Credit Card,Glad that there 24/7 helpline American express which helps with card related assistance.,Amaira,glad that there 24/7 helplin american express which help with card relat assistance.,0.25,Neutral
1064,American Express Credit Card,"When lost card, informed team they helped with immediate replacement",Anita,"when lost card, inform team they help with immedi replac",0,Neutral
1065,American Express Credit Card,dining other Amex partner restaurant bill.,Atif,dine other amex partner restaur bill.,0,Neutral
1066,American Express Credit Card,"making Amex Platinum Travel credit card Hindustan Petroleum fuel stations, bear surcharge cost.",Anjali,"make amex platinum travel credit card hindustan petroleum fuel stations, bear surcharg cost.",0,Neutral
1067,American Express Credit Card,credit cards with Amex card additional cost.,Ashraf,credit card with amex card addit cost.,0,Neutral
1068,American Express Credit Card,good deal fuel benefits applicable this card great.,Laxman,good deal fuel benefit applic thi card great.,0.75,Positive
1069,American Express Credit Card,American Express Dining Programme fetches exciting discounts partner restaurants Amex bank.,Ashna,american express dine programm fetch excit discount partner restaur amex bank.,0,Neutral
1070,American Express Credit Card,bear fuel surcharge this credit card. happy!,Farida,bear fuel surcharg thi credit card. happy!,0,Neutral
1071,American Express Credit Card,American express bank gave this credit card following 100% paperless method.,Aman,american express bank gave thi credit card follow 100% paperless method.,0,Neutral
1072,American Express Credit Card,Super relieved getting American Express Pay-in-parts facility. This let's ticket items EMI.,Soham,super reliev get american express pay-in-part facility. thi let' ticket item emi.,0.166666667,Neutral
1073,American Express Credit Card,There were zero foreclosure charges applicable this credit card.,Zoravar,there were zero foreclosur charg applic thi credit card.,0,Neutral
1074,American Express Credit Card,getting interest rates facility this card.,Lokesh,get interest rate facil thi card.,0,Neutral
1075,American Express Credit Card,"this credit card, paperless approval. best!",Prajeet,"thi credit card, paperless approval. best!",1,Positive
1076,American Express Credit Card,There American Express Pay-in-parts facility which let's ticket purchases with EMI.,Pari,there american express pay-in-part facil which let' ticket purchas with emi.,0,Neutral
1077,American Express Credit Card,"part American Express Dining Programme, special discount premium restaurants.",Amna,"part american express dine programme, special discount premium restaurants.",0.178571429,Neutral
1078,American Express Credit Card,parts facility this credit card let's EMIs interest cost.,Mehar,part facil thi credit card let' emi interest cost.,0,Neutral
1079,American Express Credit Card,ticket purchases converted into easy with this card.,Bhawesh,ticket purchas convert into easi with thi card.,0,Neutral
1080,American Express Credit Card,scheme this credit card definitely great offer. Love,Elina,scheme thi credit card definit great offer. love,0.65,Positive
1081,American Express Credit Card,"only benefit vouchers also travel vouchers worth 11,800 with this card.",Tahir,"onli benefit voucher also travel voucher worth 11,800 with thi card.",0.3,Positive
1082,American Express Credit Card,"this credit card, complimentary Priority Pass Membership.",Pavitra,"thi credit card, complimentari prioriti pass membership.",0,Neutral
1083,American Express Credit Card,"With American Express Dining Programme, great dining offers.",Soha,"with american express dine programme, great dine offers.",0.4,Positive
1084,American Express Credit Card,"spending lac, Experiences Gift Cards worth Rs.10,000 along with travel vouchers worth more Rs.11,800.",Tanya,"spend lac, experi gift card worth rs.10,000 along with travel voucher worth more rs.11,800.",0.3,Positive
1085,American Express Credit Card,"payment joining 3500 with this card, exciting rewards with this card.",Jagrit,"payment join 3500 with thi card, excit reward with thi card.",0,Neutral
1086,American Express Credit Card,additional Priority Pass membership that with this card great.,Pavitesh,addit prioriti pass membership that with thi card great.,0.8,Positive
1087,American Express Credit Card,There some fascinating dining offers that come with this card.,Vibha,there some fascin dine offer that come with thi card.,0,Neutral
1088,American Express Credit Card,priority pass membership worth came free gift,Lisha,prioriti pass membership worth came free gift,0.35,Positive
1089,American Express Credit Card,This great card which fetched travel vouchers worth 7700.,Ashraf,thi great card which fetch travel voucher worth 7700.,0.55,Positive
1090,American Express Credit Card,milestone rewards 5000 complimentary welcome benefit this card,Meena,mileston reward 5000 complimentari welcom benefit thi card,0,Neutral
1091,American Express Credit Card,"Last year spending over that fetched Experiences Gift Cards worth Rs.10,000.",Tisha,"last year spend over that fetch experi gift card worth rs.10,000.",0.15,Neutral
1092,American Express Credit Card,"having spending lac, this card fetched travel vouchers worth 7700.",Uma,"have spend lac, thi card fetch travel voucher worth 7700.",0.3,Positive
1093,American Express Credit Card,This credit card fetches welcome rewards worth 4000.,Naina,thi credit card fetch welcom reward worth 4000.,0.3,Positive
1094,American Express Credit Card,Impressed fine variety travel offers rewards that with this card.,Ashish,impress fine varieti travel offer reward that with thi card.,0.416666667,Positive
1095,American Express Credit Card,"every that spend with this card, reward point. Love",Mehar,"everi that spend with thi card, reward point. love",0.5,Positive
1096,American Express Credit Card,This perfect card with super fine rewards which come with every spending.,Niharika,thi perfect card with super fine reward which come with everi spending.,0.583333333,Positive
1097,American Express Credit Card,There exciting spend based reward system this credit card.,Savita,there excit spend base reward system thi credit card.,-0.8,Negative
1098,American Express Credit Card,"getting 5,000 Milestone Bonus Membership Rewards Points redeemable travel vouchers worth Rs.4,000.",Shaheer,"get 5,000 mileston bonu membership reward point redeem travel voucher worth rs.4,000.",0.3,Positive
1099,American Express Credit Card,This great card which brings plenty offers cardholders.,Nilesh,thi great card which bring plenti offer cardholders.,0.8,Positive
1100,American Express Credit Card,Super happy with welcome gifts which come with this card.,Shahir,super happi with welcom gift which come with thi card.,0.333333333,Positive
1101,American Express Credit Card,This credit card totally make travels more rewarding interesting.,Mahika,thi credit card total make travel more reward interesting.,0,Neutral
1102,American Express Credit Card,Super happy with fine benefits schemes that this card brings way.,Mehar,super happi with fine benefit scheme that thi card bring way.,0.375,Positive
1103,American Express Credit Card,impressed fine variety travel benefits privileges that with this card.,Anita,impress fine varieti travel benefit privileg that with thi card.,0.416666667,Positive
1104,American Express Credit Card,This perfect credit card frequent travelers. Like,Anaya,thi perfect credit card frequent travelers. like,0.55,Positive
1105,American Express Credit Card,"this card, incredible gift cards from premium hotels.",Parminder,"thi card, incred gift card from premium hotels.",0,Neutral
1106,American Express Credit Card,MakeMyTrip offers that enjoying with this card totally worth everything!,Meena,makemytrip offer that enjoy with thi card total worth everything!,0.233333333,Neutral
1107,American Express Credit Card,priority pass membership fine benefit this credit card.,Param,prioriti pass membership fine benefit thi credit card.,0.416666667,Positive
1108,American Express Credit Card,"complimentary travel vouchers dining benefits, this great card.",Kajol,"complimentari travel voucher dine benefits, thi great card.",0.8,Positive
1109,American Express Credit Card,total must have when comes fascinating travel benefits.,Tia,total must have when come fascin travel benefits.,0,Neutral
1110,American Express Credit Card,"Anyone wishes travel around globe, this great credit card.",Ashraf,"anyon wish travel around globe, thi great credit card.",0.8,Positive
1111,American Express Credit Card,This card fetches worth vouchers from Group.,Vivaan,thi card fetch worth voucher from group.,0.3,Positive
1112,American Express Credit Card,complimentary lounge visits with American express travel card.,Kabir,complimentari loung visit with american express travel card.,0,Neutral
1113,American Express Credit Card,"globe trotters, this perfect credit card. like it!!",Anju,"globe trotters, thi perfect credit card. like it!!",1,Positive
1114,American Express Credit Card,Happy receiving vouchers Group Vouchers.,Nitish,happi receiv voucher group vouchers.,0,Neutral
1115,American Express Credit Card,"year, travel vouchers worth 19,500 with this credit card",Tara,"year, travel voucher worth 19,500 with thi credit card",0.3,Positive
1116,American Express Credit Card,easily luxury goods from Platinum collection Amex catalogue.,Lisha,easili luxuri good from platinum collect amex catalogue.,0.7,Positive
1117,American Express Credit Card,Redeemed 5000 milestone bonus rewards against travel voucher 4000.,Milli,redeem 5000 mileston bonu reward against travel voucher 4000.,0,Neutral
1118,American Express Credit Card,first year joining applicable this card only 3500.,Chaman,first year join applic thi card onli 3500.,0.25,Neutral
1119,American Express Credit Card,"booking revenue tickets with this card, accelerated miles.",Kritika,"book revenu ticket with thi card, acceler miles.",0,Neutral
1120,American Express Credit Card,bear cost 5000 onward from second year association with this card.,Mohak,bear cost 5000 onward from second year associ with thi card.,0,Neutral
1121,American Express Credit Card,mile points shopping from Platinum Collection Amex.,Jaya,mile point shop from platinum collect amex.,0,Neutral
1122,American Express Credit Card,welcome gift points 5000 milestone bonus membership rewards.,Vishva,welcom gift point 5000 mileston bonu membership rewards.,0,Neutral
1123,American Express Credit Card,This credit card helps Mile rewards travel globe discounted rates.,Nauman,thi credit card help mile reward travel globe discount rates.,0,Neutral
1124,American Express Credit Card,redeem miles fancy gourmet experience.,Jayanti,redeem mile fanci gourmet experience.,0,Neutral
1125,American Express Credit Card,"Using mile rewards, enjoy exclusive hotel stays better prices.",Ashna,"use mile rewards, enjoy exclus hotel stay better prices.",0.45,Positive
1126,American Express Credit Card,accelerated Miles privileges that with this card perfect.,Jayan,acceler mile privileg that with thi card perfect.,1,Positive
1127,American Express Credit Card,Enjoying perfect priority pass membership that came free benefit with this credit card.,Mihika,enjoy perfect prioriti pass membership that came free benefit with thi credit card.,0.6,Positive
1128,American Express Credit Card,complimentary lounge access with this credit card. perfect!,Kanta,complimentari loung access with thi credit card. perfect!,1,Positive
1129,American Express Credit Card,"spending with this card, fascinating welcome benefits.",Swarna,"spend with thi card, fascin welcom benefits.",0,Neutral
1130,American Express Credit Card,spending reward point. Great!,Kashif,spend reward point. great!,0.8,Positive
1131,American Express Credit Card,Super happy with extensive variety travel offers vouchers that with this card.,Seema,super happi with extens varieti travel offer voucher that with thi card.,0.333333333,Positive
1132,American Express Credit Card,reward earn rate this Platinum credit card super amazing.,Malini,reward earn rate thi platinum credit card super amazing.,0.333333333,Positive
1133,American Express Credit Card,kind rewards with this card make every expense worth,Reema,kind reward with thi card make everi expens worth,0.45,Positive
1134,American Express Credit Card,This American Express Travel Rewards Cards come with complimentary travel accelerated benefits rewarding life.,Komal,thi american express travel reward card come with complimentari travel acceler benefit reward life.,0,Neutral
1135,American Express Credit Card,earn either reward points miles with this credit card.,Mahi,earn either reward point mile with thi credit card.,0,Neutral
1136,American Express Credit Card,"Given charged, benefits rewards totally worth",Shazia,"given charged, benefit reward total worth",0.15,Neutral
1137,American Express Credit Card,"this Airways American Express Platinum Credit Card, amazing travel rewards.",Aditya,"thi airway american express platinum credit card, amaz travel rewards.",0,Neutral
1138,American Express Credit Card,additional baggage allowance great gift this credit card.,Ashna,addit baggag allow great gift thi credit card.,0.8,Positive
1139,American Express Credit Card,This credit card fetches Miles every time make card.,Jiten,thi credit card fetch mile everi time make card.,0,Neutral
1140,American Express Credit Card,reasonable 3500 charged from this card.,Ashish,reason 3500 charg from thi card.,0,Neutral
