Title,View,View1,shortprofile,shortprofile2
Lounging benefits,HDFC Bank Credit Card,The lounging benefits that I am getting with this card are the best!,"Latika
Posted on: Aug 8, 2019",Latika
Offers and benefits,HDFC Bank Credit Card,Love how many offers and benefits are coming my way with this card.,"Omar
Posted on: Aug 8, 2019",Omar
HDFC,HDFC Bank Credit Card,I genuinely feel that this is the most perfect card from HDFC.,"Soha
Posted on: Aug 8, 2019",Soha
Really enjoying,HDFC Bank Credit Card,Really enjoying my use and access to this card. It is perfect!,"Roma
Posted on: Aug 8, 2019",Roma
This one is great,HDFC Bank Credit Card,I genuinely haven't used a more perfect credit card. This one is great!,"Stuti
Posted on: Aug 8, 2019",Stuti
It is perfect,HDFC Bank Credit Card,Happy to have opted for this card. It is perfect! Love it!,"Lisha
Posted on: Aug 8, 2019",Lisha
Absolutely love this card,HDFC Bank Credit Card,Absolutely love this card for the vivid array of benefits it assures.,"Abha
Posted on: Aug 8, 2019",Abha
Interest cost,HDFC Bank Credit Card,The interest cost is reasonable and the benefits applicable are great!,"Anuja
Posted on: Aug 8, 2019",Anuja
Pretty content,HDFC Bank Credit Card,Pretty content with an array of benefits coming my way with this card.,"Pavitra
Posted on: Aug 8, 2019",Pavitra
HDFC,HDFC Bank Credit Card,The limit set by HDFC for the milestone spending on this card is fairly achievable.,"Sadhna
Posted on: Aug 8, 2019",Sadhna
Fee on this cost,HDFC Bank Credit Card,I have never had to bear any fee on this cost since I always cross the milestone spending limit.,"Supriya
Posted on: Aug 8, 2019",Supriya
Happy,HDFC Bank Credit Card,Happy with my HDFC Diners Club Black card. It is superb!,"Harsh
Posted on: Aug 8, 2019",Harsh
Insurance benefit,HDFC Bank Credit Card,Got a complimentary insurance benefit with this card.,"Antra
Posted on: Aug 8, 2019",Antra
Credit card,HDFC Bank Credit Card,I genuinely like this credit card for the interest cost is the least possible in here.,"Kapil
Posted on: Aug 8, 2019",Kapil
EMI,HDFC Bank Credit Card,Taking an EMI with this card is so easy because of the low interest cost.,"Erica
Posted on: Aug 8, 2019",Erica
Air accident cover,HDFC Bank Credit Card,"With my HDFC card, I am getting an air accident cover of 2 crore.","Astha
Posted on: Aug 8, 2019",Astha
Exchange my miles,HDFC Bank Credit Card,I can exchange my miles with the leading airlines and hotels.,"Asha
Posted on: Aug 8, 2019",Asha
Only card,HDFC Bank Credit Card,"This is the only card wherein, I can enjoy golf games for free not only in India but also abroad.","Omkar
Posted on: Aug 8, 2019",Omkar
Complimentary golf games,HDFC Bank Credit Card,Happy to have been getting access to complimentary golf games.,"Kabir
Posted on: Aug 8, 2019",Kabir
Lounges in the world,HDFC Bank Credit Card,This card has brought in free access to more than 700 lounges in the world.,"Lata
Posted on: Aug 8, 2019",Lata
Happy,HDFC Bank Credit Card,"Happy that with regards to the milestone spending, HDFC waived off my annual fee.","Hardik
Posted on: Aug 8, 2019",Hardik
My joining fee,HDFC Bank Credit Card,"On my milestone spending, my joining fee was waived off.","Manvi
Posted on: Aug 8, 2019",Manvi
Super content,HDFC Bank Credit Card,Super content with the annual fee waiver benefit of this card.,"Shonali
Posted on: Aug 8, 2019",Shonali
Lifestyle benefits,HDFC Bank Credit Card,Totally loving the lifestyle benefits that I am getting with this card.,"Lakshay
Posted on: Aug 8, 2019",Lakshay
Perfect premium travel credit card,HDFC Bank Credit Card,This is a perfect premium travel credit card with plethora of benefits.,"Pooja
Posted on: Aug 8, 2019",Pooja
HDFC waived off,HDFC Bank Credit Card,Happy that HDFC waived off my renewal fee on the spending of 5 lacs.,"Vriti
Posted on: Aug 8, 2019",Vriti
Waived off,HDFC Bank Credit Card,My annual joining fee was waived off since my spending was more than 1 lac in the 3 months of issue.,"Vibha
Posted on: Aug 8, 2019",Vibha
Joining,HDFC Bank Credit Card,"On the first year of joining, I had to pay INR 5000 for my card","Jamia
Posted on: Aug 8, 2019",Jamia
Complimentary rounds of golf,HDFC Bank Credit Card,I can enjoy complimentary rounds of golf at 20 golf courses in India.,"Sophie
Posted on: Aug 8, 2019",Sophie
Lounging and golf benefits,HDFC Bank Credit Card,I am getting great lounging and golf benefits with this card.,"Lisha
Posted on: Aug 8, 2019",Lisha
Complimentary green fee waiver,HDFC Bank Credit Card,"With my card, I am getting a complimentary green fee waiver.","Harshna
Posted on: Aug 8, 2019",Harshna
Complimentary games of golf,HDFC Bank Credit Card,"Globally, I can enjoy complimentary games of golf with my card at 40 golf courses.","Jigna
Posted on: Aug 8, 2019",Jigna
It is amazing,HDFC Bank Credit Card,This is a perfect reward based card. It is amazing.,"Anubha
Posted on: Aug 8, 2019",Anubha
Complimentary golf games,HDFC Bank Credit Card,This card brings me 6 complimentary golf games (green fee waiver) in a quarter at 20 golf courses in India & 40 across the world.,"Komal
Posted on: Aug 8, 2019",Komal
Documentation,HDFC Bank Credit Card,The documentation on this card was fairly simple and easy to follow,"Mihir
Posted on: Aug 8, 2019",Mihir
Phenomenal global dining privileges,HDFC Bank Credit Card,I am getting some phenomenal global dining privileges with this credit card.,"Farida
Posted on: Aug 8, 2019",Farida
Discount,HDFC Bank Credit Card,"This card fetches me 15% discount at 3,000+ premium hotels across the country & global dining privileges.","Savita
Posted on: Aug 8, 2019",Savita
HDFC Diners Club Black,HDFC Bank Credit Card,"With my HDFC Diners Club Black card, I am getting Unlimited airport lounge access to over 700+ lounges worldwide.","Hansika
Posted on: Aug 8, 2019",Hansika
Reasonable joining fee,HDFC Bank Credit Card,There is a reasonable joining fee of INR 5000 applicable on this card.,"Raksha
Posted on: Aug 8, 2019",Raksha
Retail spending,HDFC Bank Credit Card,"On the retail spending done with this card, I get 10X the reward points.","Rabia
Posted on: Aug 8, 2019",Rabia
Good credit card,HDFC Bank Credit Card,This is a good credit card which fetches me 5 points on every 150 INR spent.,"Gautam
Posted on: Aug 8, 2019",Gautam
Joining fee,HDFC Bank Credit Card,"On the payment of the joining fee, I was given 10000 points by HDFC.","Jagat
Posted on: Aug 8, 2019",Jagat
Impressed,HDFC Bank Credit Card,Super impressed by this card which brings in an array of benefits.,"Alok
Posted on: Aug 8, 2019",Alok
Happy,HDFC Bank Credit Card,"Happy that when my spending exceeded the 1 lac mark, the joining fee was waived.","Garvit
Posted on: Aug 8, 2019",Garvit
Decent revolving credit,HDFC Bank Credit Card,Had to pay a decent revolving credit @ 23.88% pa on this card.,"Daksh
Posted on: Aug 8, 2019",Daksh
Interest rate,HDFC Bank Credit Card,The interest rate of this card is pretty low and is charged at only 1.99% per month.,"Amna
Posted on: Aug 8, 2019",Amna
Interest rate,HDFC Bank Credit Card,The interest rate of this card is pretty low and is charged at only 1.99% per month.,"Kian
Posted on: Aug 8, 2019",Kian
Spending,HDFC Bank Credit Card,I had a spending of INR 5 lac in the last anniversary year and as a result my renewal fee was waived off.,"Sakshi
Posted on: Aug 8, 2019",Sakshi
Renewal fee,HDFC Bank Credit Card,There is a renewal fee of INR 5000 charged on this card.,"Rega
Posted on: Aug 8, 2019",Rega
Joining fee was waived off,HDFC Bank Credit Card,My joining fee was waived off since I had a spending of INR 1 lac in the 90 days of the card approval.,"Jamna
Posted on: Aug 8, 2019",Jamna
First year fee applicable,HDFC Bank Credit Card,The first year fee applicable on this card is INR 5000.,"Harry
Posted on: Aug 8, 2019",Harry
HDFC,HDFC Bank Credit Card,"As claimed my HDFC, this I believe is the most perfect card for people who appreciate the finer things in life.","Astha
Posted on: Aug 8, 2019",Astha
Happy,HDFC Bank Credit Card,Happy to be getting good dining deals and discounts with this card.,"Hansika
Posted on: Aug 8, 2019",Hansika
Good number of rewards,HDFC Bank Credit Card,Earning a good number of rewards per spending done with this card.,"Garima
Posted on: Aug 8, 2019",Garima
Really low cost card,HDFC Bank Credit Card,This is a really low cost card wherein the annual fee is mostly waived off.,"Jigar
Posted on: Aug 8, 2019",Jigar
No additional cost,HDFC Bank Credit Card,Really had to bear no additional cost for my HDFC diners club card.,"Nutan
Posted on: Aug 8, 2019",Nutan
Hassle free,HDFC Bank Credit Card,Couldn't believe that it was so hassle free and convenient to apply for this card online.,"Hans
Posted on: Aug 8, 2019",Hans
HDFC agents,HDFC Bank Credit Card,So proud of HDFC agents who helped me get my card delivered right at my door.,"Harshdeep
Posted on: Aug 8, 2019",Harshdeep
HDFC,HDFC Bank Credit Card,"Glad that the agents at HDFC, helped me with all necessary details related to the Diners card before application.","Hardik
Posted on: Aug 8, 2019",Hardik
Happy,HDFC Bank Credit Card,Happy that the documentation process was so simple and easy to follow,"Harman
Posted on: Aug 8, 2019",Harman
So content and relieved,HDFC Bank Credit Card,So content and relieved with the massive variety in deals and offers that I am getting with this card.,"Soham
Posted on: Aug 8, 2019",Soham
Amplified my savings,HDFC Bank Credit Card,There's no doubt about the fact that this card has amplified my savings.,"Jacky
Posted on: Aug 8, 2019",Jacky
Super satiated,HDFC Bank Credit Card,Super satiated with the kind of ease this card has added to my life.,"Kritika
Posted on: Aug 8, 2019",Kritika
Balanced credit card,HDFC Bank Credit Card,This is a perfectly balanced credit card with innumerable benefits.,"Bhanu
Posted on: Aug 8, 2019",Bhanu
Card is accepted,HDFC Bank Credit Card,"At all stores accepting Visa or Mastercard, this card is accepted.","Kashif
Posted on: Aug 8, 2019",Kashif
Use my card with ease,HDFC Bank Credit Card,"Be it anywhere, in the world, I can use my card with ease.","Umang
Posted on: Aug 8, 2019",Umang
Never run out of cash,HDFC Bank Credit Card,"Now, I never run out of cash. Every time, I need it, I swipe my card at the ATM and it is out","Naman
Posted on: Aug 8, 2019",Naman
Fab deal,HDFC Bank Credit Card,Getting a fab deal on the shopping done with my card.,"Farida
Posted on: Aug 8, 2019",Farida
I am happy,HDFC Bank Credit Card,I am happy with the dining rewards and offers I am getting with this card.,"Hansa
Posted on: Aug 8, 2019",Hansa
Amazed,HDFC Bank Credit Card,This credit card brought me great movie offers. Amazed,"Astha
Posted on: Aug 8, 2019",Astha
Happy,HDFC Bank Credit Card,Happy to have been received vouchers worth INR 10000 post the payment of my joining fee.,"Kirti
Posted on: Aug 8, 2019",Kirti
E vouchers,HDFC Bank Credit Card,I applied for this card online and got great e vouchers.,"Hima
Posted on: Aug 8, 2019",Hima
I am happy,HDFC Bank Credit Card,I am happy that the interest cost applicable on this card was easy.,"Sagar
Posted on: Aug 8, 2019",Sagar
Possibly the best,HDFC Bank Credit Card,Possibly the best and the most low cost reward based card ever.,"Kian
Posted on: Aug 8, 2019",Kian
Variety in rewards,HDFC Bank Credit Card,Love this credit card and the massive variety in rewards it offers.,"Vibha
Posted on: Aug 8, 2019",Vibha
Array of rewards,HDFC Bank Credit Card,Couldn't believe that I could get such a vast array of rewards and benefits on this card.,"Antra
Posted on: Aug 8, 2019",Antra
Super satiated,HDFC Bank Credit Card,Super satiated with the vivid deals and offers that I am getting with my card.,"Sonal
Posted on: Aug 8, 2019",Sonal
Associated with HDFC,HDFC Bank Credit Card,"I have long been associated with HDFC, so I got this credit card as a lifetime free gift.","Astha
Posted on: Aug 8, 2019",Astha
So happy,HDFC Bank Credit Card,My annual fee was waived off this year. So happy and relieved!,"Bidisha
Posted on: Aug 8, 2019",Bidisha
Global acceptance,HDFC Bank Credit Card,This is the perfect card. Since it has a global acceptance.,"Meena
Posted on: Aug 8, 2019",Meena
Rewarding reward based card,HDFC Bank Credit Card,Couldn't have thought of a better and a more rewarding reward based card.,"Shruti
Posted on: Aug 8, 2019",Shruti
Excellent rewards and benefits,HDFC Bank Credit Card,The excellent rewards and benefits I am getting with this card are the best!,"Anandita
Posted on: Aug 8, 2019",Anandita
Online or offline,HDFC Bank Credit Card,Shopping online or offline is now so easy with my card.,"Anshu
Posted on: Aug 8, 2019",Anshu
I am happy,HDFC Bank Credit Card,"I am happy with the BOGO movie offer that I get with the card,","Haneet
Posted on: Aug 8, 2019",Haneet
Benefits,HDFC Bank Credit Card,This card has plethora of benefits which make it my number one choice.,"Bharti
Posted on: Aug 8, 2019",Bharti
Flight bookings,HDFC Bank Credit Card,I had to book a flight so I redeemed my air miles and got cheaper tickets.,"Farida
Posted on: Aug 8, 2019",Farida
Super relieved,HDFC Bank Credit Card,Super relieved that these reward points can be redeemed against air miles.,"Sujata
Posted on: Aug 8, 2019",Sujata
No surcharge cost,HDFC Bank Credit Card,There is no surcharge cost applicable on this card.,"Nalini
Posted on: Aug 8, 2019",Nalini
Good saving,HDFC Bank Credit Card,I had a good saving of over 25k in the last year with my card.,"Gopalan
Posted on: Aug 8, 2019",Gopalan
Incredibly saving,HDFC Bank Credit Card,Cannot believe how incredibly saving this card has been.,"Amandeep
Posted on: Aug 8, 2019",Amandeep
Super satiated,HDFC Bank Credit Card,Super satiated with the fine mix of benefits and rewards I am getting with this card.,"Soham
Posted on: Aug 8, 2019",Soham
It is so good,HDFC Bank Credit Card,Glad that I can globally use my credit card. It is so good.,"Astha
Posted on: Aug 8, 2019",Astha
Happy,HDFC Bank Credit Card,Happy that payment of the utility bills is now fairly simple with this card.,"Tavisha
Posted on: Aug 8, 2019",Tavisha
Utility,HDFC Bank Credit Card,"The utility of this credit card is excellent. Can be used anytime, anywhere.","Uttam
Posted on: Aug 8, 2019",Uttam
Ease to my life,HDFC Bank Credit Card,Love this credit card for it has added a lot of ease to my life.,"Astha
Posted on: Aug 8, 2019",Astha
Accrued with this credit card,HDFC Bank Credit Card,Every reward point accrued with this credit card can be converted to Air Mile/JPMiles/Kris Flyer Miles.,"Ashu
Posted on: Aug 8, 2019",Ashu
Reward Points,HDFC Bank Credit Card,The validity period on Reward Points earned on this credit card is 2 years from the date of accumulation.,"Raghav
Posted on: Aug 8, 2019",Raghav
Renewal fee,HDFC Bank Credit Card,The renewal fee was waived off for me. My spending was more than 1 lac in an year.,"Rama
Posted on: Aug 8, 2019",Rama
Joining fee,HDFC Bank Credit Card,The joining fee applicable on my HDFC card is only INR 5000.,"Jayant
Posted on: Aug 8, 2019",Jayant
Self employed individual,HDFC Bank Credit Card,"Being a self employed individual my salary requirement was 3.6 l pa. So, I technically didn't face any hassle while getting this card.","Savita
Posted on: Aug 8, 2019",Savita
Salaried individual,HDFC Bank Credit Card,I am a salaried individual with a salary of 30k per month. Got this card with no hassle.,"Sona
Posted on: Aug 8, 2019",Sona
Simple and easy,HDFC Bank Credit Card,This credit card was so simple and easy to apply! Love it!,"Sakshi
Posted on: Aug 8, 2019",Sakshi
Happy,HDFC Bank Credit Card,Happy with the kind of utility this credit card has. It is great!,"Hanan
Posted on: Aug 8, 2019",Hanan
HDFC,HDFC Bank Credit Card,"At 50+, didn't think HDFC guys would grant me the card but they did! So relieved!","Harry
Posted on: Aug 8, 2019",Harry
Indian,HDFC Bank Credit Card,"I am an Indian with a good credit limit, was fairly easier for me to apply for this card.","Anuj
Posted on: Aug 8, 2019",Anuj
Markup fees,HDFC Bank Credit Card,The markup fees on the foreign currency transaction is only charged at 3% of the amount.,"Manju
Posted on: Aug 8, 2019",Manju
There was a small fee charged,HDFC Bank Credit Card,There was a small fee charged for the reissue of the card at INR 100.,"Tanya
Posted on: Aug 8, 2019",Tanya
Balance transfer,HDFC Bank Credit Card,Had to bear a cost of INR 250 for the balance transfer.,"Mukti
Posted on: Aug 8, 2019",Mukti
Processing charge,HDFC Bank Credit Card,The balance transfer processing charge is 1% of the BT amount.,"Mahima
Posted on: Aug 8, 2019",Mahima
EMI facility,HDFC Bank Credit Card,I can avail the easy EMI facility of this credit card.,"Erica
Posted on: Aug 8, 2019",Erica
Convenience of balance transfer,HDFC Bank Credit Card,There is a convenience of balance transfer applicable on this card.,"Kabir
Posted on: Aug 8, 2019",Kabir
Accrued reward points,HDFC Bank Credit Card,I can redeem my accrued reward points at a variety of different alternatives.,"Tabu
Posted on: Aug 8, 2019",Tabu
Rewards,HDFC Bank Credit Card,The rewards don't expire up until 2 years from the date.,"Mehak
Posted on: Aug 8, 2019",Mehak
Reward redemption fee,HDFC Bank Credit Card,The reward redemption fee of only INR 100 was charged from me.,"Mrunal
Posted on: Aug 8, 2019",Mrunal
Over limit account charge,HDFC Bank Credit Card,Had to bear 2.5% of the amount as the over limit account charge.,"Omi
Posted on: Aug 8, 2019",Omi
Payment return fee,HDFC Bank Credit Card,The amount @ 2% was charged as the payment return fee.,"Manika
Posted on: Aug 8, 2019",Manika
Reasonable cash processing,HDFC Bank Credit Card,There is a very reasonable cash processing fee of INR 100.,"Reyana
Posted on: Aug 8, 2019",Reyana
The payment return fee,HDFC Bank Credit Card,The payment return fee charged on the card is just 2% of the amount.,"Tisha
Posted on: Aug 8, 2019",Tisha
Over limit charge,HDFC Bank Credit Card,Glad that the over limit charge is only INR 500 applicable on this card.,"Oshika
Posted on: Aug 8, 2019",Oshika
Revolving credit,HDFC Bank Credit Card,There is a revolving credit which is high and is charged at 23.88%.,"Shabir
Posted on: Aug 8, 2019",Shabir
Pretty reasonable,HDFC Bank Credit Card,The interest cost is pretty reasonable and is charged at 1.99% per month.,"Pavni
Posted on: Aug 8, 2019",Pavni
Late payment of dues,HDFC Bank Credit Card,I paid INR 950 as a fine for the late payment of dues.,"Latika
Posted on: Aug 8, 2019",Latika
Benefit of add on card,HDFC Bank Credit Card,Used the benefit of add on card to empower my family.,"Binita
Posted on: Aug 8, 2019",Binita
Delighted,HDFC Bank Credit Card,Got an add on card with my card for free. Delighted!!,"Aish
Posted on: Aug 8, 2019",Aish
Loan against my credit limit,HDFC Bank Credit Card,Got a INR 1 lac loan against my credit limit with the bank.,"Lashkar
Posted on: Aug 8, 2019",Lashkar
Less annual fee,HDFC Bank Credit Card,There is a very less annual fee applicable of INR 5000.,"Lokesh
Posted on: Aug 8, 2019",Lokesh
Annual fee is waived off,HDFC Bank Credit Card,Mostly the annual fee is waived off on spending basis.,"Anuja
Posted on: Aug 8, 2019",Anuja
Late payment of dues,HDFC Bank Credit Card,Glad that there was a very small amount charged as fine on the late payment of dues.,"Nalini
Posted on: Aug 8, 2019",Nalini
Loan,HDFC Bank Credit Card,Could get a loan against my credit limit @80% of the value.,"Bittu
Posted on: Aug 8, 2019",Bittu
Cash advance fee,HDFC Bank Credit Card,Paid 2.5% of the amount as the cash advance fee. Happy!,"Anu
Posted on: Aug 8, 2019",Anu
HDFC Diners club credit limit,HDFC Bank Credit Card,Could easily avail a loan against my HDFC Diners club credit limit.,"Tahir
Posted on: Aug 8, 2019",Tahir
Diners Club,HDFC Bank Credit Card,The credit limit of my Diners Club Black card is 1 lac.,"Mitali
Posted on: Aug 8, 2019",Mitali
Small cash advance fee,HDFC Bank Credit Card,There is a small cash advance fee applicable on this card at INR 500.,"Sohan
Posted on: Aug 8, 2019",Sohan
Annual fee applicable,HDFC Bank Credit Card,The annual fee applicable on my credit card is only INR 5000.,"Anubhuti
Posted on: Aug 8, 2019",Anubhuti
Concierge assistance,HDFC Bank Credit Card,"I can use the concierge assistance for hotel reservations, dining reservations, movies, etc.","Kamish
Posted on: Aug 8, 2019",Kamish
Round the clock,HDFC Bank Credit Card,The concierge assistance is available for help all round the clock.,"Romi
Posted on: Aug 8, 2019",Romi
Accumulation,HDFC Bank Credit Card,The reward points hold a validity of 2 years from the date of accumulation.,"Anushka
Posted on: Aug 8, 2019",Anushka
Concierge assistance,HDFC Bank Credit Card,There is a good concierge assistance offered by HDFC. It is great!,"Kashish
Posted on: Aug 8, 2019",Kashish
I get welcome reward points,HDFC Bank Credit Card,"On the payment of my annual fee, I get welcome reward points.","Mahima
Posted on: Aug 8, 2019",Mahima
Waived off,HDFC Bank Credit Card,"On the spending of 1 lac with the card in the previous year, the fee is waived off.","Vacchan
Posted on: Aug 8, 2019",Vacchan
Singapore Airlines,HDFC Bank Credit Card,I could easily redeem my reward points for the Singapore Airlines (Kris Flyer).,"Shaina
Posted on: Aug 8, 2019",Shaina
Fuel cost,HDFC Bank Credit Card,"On the fuel cost, I get a 100% surcharge waiver with this card.","Fatima
Posted on: Aug 8, 2019",Fatima
Welcome bonus,HDFC Bank Credit Card,"On my signing up with HDFC, I was awarded with 10000 as the welcome bonus.","Vibha
Posted on: Aug 8, 2019",Vibha
Good value of reward points,HDFC Bank Credit Card,"On every 150 INR spent on retail, I get good value of reward points.","Chanda
Posted on: Aug 8, 2019",Chanda
Air Miles,HDFC Bank Credit Card,Every 1 reward point is equal to 1 INR and can be used as Air Miles.,"Anant
Posted on: Aug 8, 2019",Anant
Jet Airways,HDFC Bank Credit Card,The reward points can be redeemed on the Jet Airways (JPMiles) air programme.,"Jiten
Posted on: Aug 8, 2019",Jiten
Waived off for me,HDFC Bank Credit Card,The 1% levied on fuel as surcharge cost is waived off for me.,"Vipin
Posted on: Aug 8, 2019",Vipin
Super satiated,HDFC Bank Credit Card,Super satiated with this massively rewarding credit card.,"Sheesha
Posted on: Aug 8, 2019",Sheesha
Successful,HDFC Bank Credit Card,"On the successful signing up with the HDFC Diners card, I got good reward points.","Anusha
Posted on: Aug 8, 2019",Anusha
Plethora of services,HDFC Bank Credit Card,"My HDFC credit card offers me a plethora of services like the concierge services, miles exchange offer with leading airlines, and rewards.","Mahima
Posted on: Aug 8, 2019",Mahima
Frequent travelers,HDFC Bank Credit Card,This credit card has been particularly designed for frequent travelers.,"Farida
Posted on: Aug 8, 2019",Farida
HDFC Diners Club,HDFC Bank Credit Card,The HDFC Diners Club is a reward based credit card. Love it!,"Harsh
Posted on: Aug 8, 2019",Harsh
Replacement,Standard Chartered Bank Credit Card,Replacement for the lost card happened at a reasonable rate of INR 100.,"Vasu
Posted on: Aug 8, 2019",Vasu
Agents,Standard Chartered Bank Credit Card,The agents and team are available for assistance all round the clock.,"Shagun
Posted on: Aug 8, 2019",Shagun
On account of lost card,Standard Chartered Bank Credit Card,"On account of lost card, I contacted the team and they helped me out!","Anshita
Posted on: Aug 8, 2019",Anshita
Redemption of the rewards,Standard Chartered Bank Credit Card,This is only INR 100 fee applicable for the redemption of the rewards.,"Yoshita
Posted on: Aug 8, 2019",Yoshita
Lost my card,Standard Chartered Bank Credit Card,"When I had lost my card, the agents gave me an emergency replacement.","Prerna
Posted on: Aug 8, 2019",Prerna
Truly appreciate,Standard Chartered Bank Credit Card,I truly appreciate the concierge service that comes with this card.,"Siddhanth
Posted on: Aug 8, 2019",Siddhanth
I love golf,Standard Chartered Bank Credit Card,"I love golf, so for me this card is a total steal. Perfect.","Sudhanshu
Posted on: Aug 8, 2019",Sudhanshu
Credit card is perfect,Standard Chartered Bank Credit Card,This credit card is perfect for me since I travel and eat out a lot.,"Titu
Posted on: Aug 8, 2019",Titu
Happy,Standard Chartered Bank Credit Card,The reward rate comes up to be a decent 3.3%. Happy!,"Mohit
Posted on: Aug 8, 2019",Mohit
MMT,Standard Chartered Bank Credit Card,"There was a cashback of 10,000 on MMT on my booking as a welcome benefit on my card.","Gaurav
Posted on: Aug 8, 2019",Gaurav
Dining bills,Standard Chartered Bank Credit Card,Paid my dining bills with this card and saved 25% on the bill.,"Dinesh
Posted on: Aug 8, 2019",Dinesh
Economical,Standard Chartered Bank Credit Card,Using this card for foreign transactions is pretty economical.,"Ekasa
Posted on: Aug 8, 2019",Ekasa
Maximize the benefits,Standard Chartered Bank Credit Card,"In order to maximize the benefits, you must always have a spending of 20k per month. It will lead to good savings.","Manvi
Posted on: Aug 8, 2019",Manvi
Best thing,Standard Chartered Bank Credit Card,"The best thing that I want to convey is you must start using the card within ninety days from the date it is issued. You will earn Rs.10,000 worth cashback on MakeMyTrip","Bhairav
Posted on: Aug 8, 2019",Bhairav
Priority pass membership,Standard Chartered Bank Credit Card,The priority pass membership is a good benefit of this card.,"Pavitra
Posted on: Aug 8, 2019",Pavitra
Complimentary lounging and golf course access,Standard Chartered Bank Credit Card,This card brought in complimentary lounging and golf course access.,"Chandni
Posted on: Aug 8, 2019",Chandni
Dining benefits,Standard Chartered Bank Credit Card,There are fine dining benefits and savings that I get with my card.,"Dishant
Posted on: Aug 8, 2019",Dishant
Joining and the renewal benefits,Standard Chartered Bank Credit Card,The joining and the renewal benefits are a good benefit of my card.,"Jagrit
Posted on: Aug 8, 2019",Jagrit
Love the ease,Standard Chartered Bank Credit Card,Love the ease I experienced while applying for my card. Great team!,"Lokesh
Posted on: Aug 8, 2019",Lokesh
Good travel benefits,Standard Chartered Bank Credit Card,This is ultimate in every sense. Good travel benefits!,"Gopal
Posted on: Aug 8, 2019",Gopal
Pretty impressed,Standard Chartered Bank Credit Card,Pretty impressed with the multitude of offers and rewards coming my way with my card.,"Panki
Posted on: Aug 8, 2019",Panki
Happy and satiated,Standard Chartered Bank Credit Card,Happy and satiated with the gigantic benefits and reward system of my card.,"Hardik
Posted on: Aug 8, 2019",Hardik
Best,Standard Chartered Bank Credit Card,Love how my card works with a contactless technology. Best!,"Lokesh
Posted on: Aug 8, 2019",Lokesh
Cash on the go,Standard Chartered Bank Credit Card,"With my credit card, I always have the cash on the go. Cool!","Kashyap
Posted on: Aug 8, 2019",Kashyap
ATMs across the country,Standard Chartered Bank Credit Card,This card can be used at ATMs across the country and abroad. Perfect!,"Tahira
Posted on: Aug 8, 2019",Tahira
Humongous dining and travel benefits,Standard Chartered Bank Credit Card,I like and appreciate the humongous dining and travel benefits with this card.,"Harjeet
Posted on: Aug 8, 2019",Harjeet
Perfect card,Standard Chartered Bank Credit Card,Truly the perfect card for people who travel a lot. Best!,"Pankaj
Posted on: Aug 8, 2019",Pankaj
Fairly impressed,Standard Chartered Bank Credit Card,Fairly impressed with the multitude of benefits and the low cost nature of this card.,"Hima
Posted on: Aug 8, 2019",Hima
Concierge benefit,Standard Chartered Bank Credit Card,Appreciate the 24/7 concierge benefit applicable on my card.,"Kamlesh
Posted on: Aug 8, 2019",Kamlesh
Simple documentation process,Standard Chartered Bank Credit Card,There is a simple documentation process. The team is excellent.,"Soham
Posted on: Aug 8, 2019",Soham
Interest cost,Standard Chartered Bank Credit Card,I had to bear an interest cost of 37.2% on my SCB Ultimate card.,"Akshay
Posted on: Aug 8, 2019",Akshay
Reward earn rate,Standard Chartered Bank Credit Card,The reward earn rate is pretty good at 3.3%. Perfect!,"Preity
Posted on: Aug 8, 2019",Preity
Working individual,Standard Chartered Bank Credit Card,I am a working individual aged 22 years old with a fine credit score. Took me just 2 days for the approval.,"Vimal
Posted on: Aug 8, 2019",Vimal
Interest cost,Standard Chartered Bank Credit Card,"For every month, there is a small interest cost of 3.1% applicable.","Anandi
Posted on: Aug 8, 2019",Anandi
The foreign transaction fee,Standard Chartered Bank Credit Card,The foreign transaction fee is very little and is charged at 3.5% of the amount.,"Tridha
Posted on: Aug 8, 2019",Tridha
Withdrawal done,Standard Chartered Bank Credit Card,"On the withdrawal done at the ATMs, I had to pay a fee of 3% of the amount.","Vijay
Posted on: Aug 8, 2019",Vijay
Small fee,Standard Chartered Bank Credit Card,There is a very small fee of INR 99 charged for the reward redemption.,"Soham
Posted on: Aug 8, 2019",Soham
Credit limit,Standard Chartered Bank Credit Card,"On the exceeding of the set credit limit, I had to bear a fee of 2.5% of the over limit amount.","Udesh
Posted on: Aug 8, 2019",Udesh
Late payment of my bill,Standard Chartered Bank Credit Card,"On the late payment of my bill, I had to bear a penalty of INR 350.","Lavish
Posted on: Aug 8, 2019",Lavish
No annual fee,Standard Chartered Bank Credit Card,There is no annual fee charged for the add on card taken with my card.,"Niketan
Posted on: Aug 8, 2019",Niketan
Add on card benefit,Standard Chartered Bank Credit Card,Took an add on card benefit and got my father the same card for free.,"Anant
Posted on: Aug 8, 2019",Anant
Supplementary add on card,Standard Chartered Bank Credit Card,There is no fee charged on the supplementary add on card coming with the primary card.,"Supreet
Posted on: Aug 8, 2019",Supreet
Renewal fee,Standard Chartered Bank Credit Card,The renewal fee applicable with my card is only INR 5000.,"Reyansh
Posted on: Aug 8, 2019",Reyansh
Economical fee,Standard Chartered Bank Credit Card,Glad that there is only a reasonable and fairly economical fee of INR 5000 on my card.,"Aman
Posted on: Aug 8, 2019",Aman
